Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф. Q,имперф.P,имперф.P2,имперф.S,имперф. MP,Источник,Комментарии
,"1689, 1401	","курить, пить",ome-,"<ES, P; P>",ome-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,1403,кусать,səkpən- / səkpəči-,"<ES, Q, MP; P, MP>",səkpəči-,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
REMEMBER,1403,кусать,səkpən- / səkpəči-,"<ES, Q, MP; P, MP>",səkpən-,<Q; P>,0,0,0,0,0,0,0,1,1,0,0,0,[Oskolskaya 2017],найхинский говор
HELP,1206,лаять,wāče-,"<ES, P; P>",wāče-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
HELP,2116,"лежать, спать",ao-,<S; S>,ao-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,1441,лететь,dəgdə- / dəgdəgu- / dəgdəči-,"<EP, ES, P; P>",dəgdəgu-,"<EP, ES; —>",1,1,0,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
,1441,лететь,dəgdə- / dəgdəgu- / dəgdəči-,"<EP, ES, P; P>",dəgdə-,<EP; P> ,1,0,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,1441,лететь,dəgdə- / dəgdəgu- / dəgdəči-,"<EP, ES, P; P>",dəgdəči-,<P; —>,0,0,1,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
,499,лечить1,okče-,<P; P>,okče-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,499,лечить2,xore-,<ES; —>,xore-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,1487,лить,jəwəri- / jəwərsi-,"<ES, P; P>",jəwəri-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,1487,лить,jəwəri- / jəwərsi-,"<ES, P; P>",jəwərsi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
JOIN,215,ложиться,akpan-,"<ES, P; P>",akpan-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
JOIN,966,ломать,bojale- / bojače-,"<ES, P; P>",bojale-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
COME,966,ломать,bojale- / bojače-,"<ES, P; P>",bojače-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
COME,,лопаться,təkəə-,<Q; —>,təkəə-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
ASK (REQUEST),923,любить,uləsi-,<S; S>,uləsi-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
ASK (REQUEST),3544,махать,ole-,<P; P>,ole-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
WAKE UP,,мёрзнуть,gəkči-,<ES; S>,gəkči-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
WAKE UP,,мочиться,čiəči-,<P; P>,čiəči-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,972,мочь,mutə-,<ES; S>,mutə-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,1101,мучиться,ərulə-,<S; S>,ərulə-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,158,надевать,tətu-,"<ES, P; P>",tətu-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,719,находить (новое),bā-,<ES; —>,bā-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
REPAIR,719,находить (потерянное),baogo-,<ES; —>,baogo-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
REPAIR,3447,начинать1,dəru-,"<ES, P; P>",dəru-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
MAKE ANGRY (ANNOY),3447,начинать2,təpčiu-,"<ES, P; P>",təpčiu-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
MAKE ANGRY (ANNOY),1626,объяснять,alose-,<ES; P>,alose-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
MAKE ANGRY (ANNOY),1573,опухать,xaolo-,<ES; S>,xaolo-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
BE ANGRY,987,оставаться ,dərəǯi- / dərəǯigu-,<ES; —>,dərəǯi-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
BE ANGRY,987,оставаться ,dərəǯi- / dərəǯigu-,<ES; —>,dərəǯigu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
BE ANGRY,1156,открывать,nixəli-,<ES; P>,nixəli-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
BE ANGRY,1735,отрывать1,gudəli- / gudəči-,<ES; P>,gudəli-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,1735,отрывать1,gudəli- / gudəči-,<ES; P>,gudəči-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,1735,отрывать2,xətuli- / xətuči-,<ES; P>,xətuli-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,1735,отрывать2,xətuli- / xətuči-,<ES; P>,xətuči-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
MISS (SOMEBODY),1280,падать,tū- / tūlsi-,<Q; MP>,tūlsi-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
MISS (SOMEBODY),1280,падать,tū- / tūlsi-,<Q; MP>,tū-,<Q; P>,0,0,0,0,0,0,0,1,1,0,0,0,[Oskolskaya 2017],найхинский говор
MISS (SOMEBODY),1921,пахать,anǯala-,"<ES, P; P>",anǯala-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
LISTEN,1261,петь,ǯare-,"<ES, P; P>",ǯare-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
LISTEN,3543,пилить,pō-,"<ES, P; P>",pō-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
HEAR,1672,писать,niru-,<ES; P>,niru-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
HEAR,1839,плакать,soŋgo-,<P; P>,soŋgo-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
"TELL, SPEAK",866,"побеждать, выигрывать",xətə-,<ES; P>,xətə-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
"TELL, SPEAK",230,подметать,xapole-,"<ES, P; P>",xapole-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
"TELL, SPEAK",,"подходить, быть в пору",ača-,"<ES, S; S>",ača-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
"TELL, SPEAK",,поливать,xūl- / xūlsi-,<ES; P>,xūl-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
DRY UP,,поливать,xūl- / xūlsi-,<ES; P>,xūlsi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
DRY UP,1897,помогать,bələči-,"<ES, P; P>",bələči-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
HURRY,,привинчивать,morkola- / morkoče-,"<ES, P; P>",morkola-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
HURRY,,привинчивать,morkola- / morkoče-,"<ES, P; P>",morkoče-,<P; —>,0,0,1,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
SHOOT,,прилипать,lakto- / laktoča-,<ES; S>,lakto-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
SHOOT,,прилипать,lakto- / laktoča-,<ES; S>,laktoča-,<S; —>,0,0,0,0,1,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
SHOOT,,прислоняться,lagǯe-,"<ES, S; S>",lagǯe-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
MELT,1743,присоединяться,xopala-,<ES; —>,xopala-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
MELT,1446,приходить,ǯi-,"<ES, P; P>",ǯi-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,1828,просить,gələ-,"<ES, P; P>",gələ-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,1602,просыпаться,sənə- / sənəgu-,<ES; P>,sənə-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
FLOW,1602,просыпаться,sənə- / sənəgu-,<ES; P>,sənəgu-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
FLOW,,радоваться,agda- / agdanase-,"<ES, S; S>",agdanase-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
FLOW,,радоваться,agda- / agdanase-,"<ES, S; S>",agda-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,2243,"ремонтировать, чинить",tago-,"<ES, P; P>",tago-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,2892,сердить,ajaktaloan- / ajaktačeon-,"<ES, S; S>",ajaktaloan-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,2892,сердить,ajaktaloan- / ajaktačeon-,"<ES, S; S>",ajaktačeon-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,2223,сердиться,ajaktala- / ajaktače-,<ES; S>,ajaktala-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
PULL,2223,сердиться,ajaktala- / ajaktače-,<ES; S>,ajaktače-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
PULL,,"скользить, кататься (с горки)",susuəkəči-,"<ES, P; P>",susuəkəči-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
PULL,2328,скучать,ǯōŋgo- / ǯōŋgonase-,<S; S>,ǯōŋgo-,<?; S>,—,—,—,—,—,—,—,—,0,0,1,0,[Oskolskaya 2017],найхинский говор
KILL,2328,скучать,ǯōŋgo- / ǯōŋgonase-,<S; S>,ǯōŋgonase-,<S; ?>,0,0,0,0,1,0,0,0,—,—,—,—,[Oskolskaya 2017],найхинский говор
HIT,1608,слушать,dosoǯa-,<P; P>,dosoǯa-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
HIT,1408,слышать,dolǯe-,"<ES, S; S>",dolǯe-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
HIT,"1711, 1623","сообщать, говорить1",gusərə-,<P; P>,gusərə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
HIT,"1711, 1625","сообщать, говорить2",un-,<ES; —>,un-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,1786,сохнуть,xolgo-,<ES; P>,xolgo-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,754,спешить,buduri-,<P; P>,buduri-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,1172,стрелять (из ружья),meočala- / meočače-,<ES; P>,meočala-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,1172,стрелять (из ружья),meočala- / meočače-,<ES; P>,meočače-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
DIE,,таять,ūn-,<ES; P>,ūn-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
DIE,,терять,xuədə-,<ES; —>,xuədə-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
GET TIRED,2003,течь,xəjə-,<P; P>,xəjə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
GET TIRED,,трескаться,kaltā- / kaltānase-,"<Q, MP; MP>",kaltānase-,<MP; ?>,0,0,0,0,0,1,0,0,—,—,—,—,[Oskolskaya 2017],найхинский говор
LEAVE,,трескаться,kaltā- / kaltānase-,"<Q, MP; MP>",kaltā-,<Q; MP>,0,0,0,0,0,0,0,1,0,0,0,1,[Oskolskaya 2017],найхинский говор
LEAVE,1455,тянуть1,tata-,<P; P>,tata-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
SNORE,1455,тянуть2,toaŋgo-,<P; P>,toaŋgo-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
SNORE,1417,убивать,wā-,"<ES, P; P>",wā-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
SNORE,1433,"ударить, удариться",pačela- / pačeče-,<Q; MP>,pačeče-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
SNORE,1433,"ударить, удариться",pačela- / pačeče-,<Q; MP>,pačela-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
BLOOM,,удивляться,ərdəŋgəsi-,<S; S>,ərdəŋgəsi-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
BLOOM,,уметь,otole-,<ES; S>,otole-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
KISS,1494,умирать,bu-,<ES; —>,bu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
KISS,1996,уставать,jada-,<ES; S>,jada-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
KISS,1752,уходить,ənu-,<ES; —>,ənu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
KISS,1983,храпеть,xončera- / xončerap-,<Q; MP>,xončera-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
KISS,1983,храпеть,xončera- / xončerap-,<Q; MP>,xončerap-,<Q; ?>,0,0,0,0,0,0,0,1,—,—,—,—,[Oskolskaya 2017],найхинский говор
