Название фрейма,Фрейм,Значение,А-группа,А-класс группы,Форма,А-класс,перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф. MP,Источник,Комментарии,,,
listen,1608,слушать1,tɤŋlɤj,"<ES P, P>",tɤŋlɤj,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
listen,1608,слушать2,tɤnnɤj,"<ES P, P>",tɤnnɤj,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
screw,1802,привинчивать,wintla,"<ES P, P>",wintla,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
catch,702,"ловить, хватать, держать",tɤta,"<ES P S, P S>",tɤta,"<ES P S, P S>",0,1,1,0,1,0,0,1,0,1,0,[Tatevosov et al. 2017],,,,
lay (verb),2071,стрелять,ata,"<ES MP, MP>",ata,"<ES MP, MP>",0,1,0,0,0,1,0,0,0,0,1,[Tatevosov et al. 2017],,,,
cough,879,кашлять,jetkerä,"<ES MP, MP>",jetkerä,"<ES MP, MP>",0,1,0,0,0,1,0,0,0,0,1,[Tatevosov et al. 2017],,,,
kiss,578,целовать,übä,"<ES MP, MP>",übä,"<ES MP, MP>",0,1,0,0,0,1,0,0,0,0,1,[Tatevosov et al. 2017],,,,
drip (emit liquid),2253,капать,tama,"<ES MP, MP>",tama,"<ES MP, MP>",0,1,0,0,0,1,0,0,0,0,1,[Tatevosov et al. 2017],,,,
strike or beat,2133,быть избиваемым,sugɤla,"<ES MP, MP>",sugɤla,"<ES MP, MP>",0,1,0,0,0,1,0,0,0,0,1,[Tatevosov et al. 2017],,,,
boil (of liquid),792,кипеть,kajnɤj,"<EP, P2>",kajnɤj,"<EP, P2>",1,0,0,0,0,0,0,0,1,0,0,[Tatevosov et al. 2017],"в сергачском говоре <EP P, P2>",,,
light (ignite),737,загораться,kabɤna,"<EP, P2>",kabɤna,"<EP, P2>",1,0,0,0,0,0,0,0,1,0,0,[Tatevosov et al. 2017],,,,
snore,1983,храпеть,gɤrlɤj,"<EP P, P2>",gɤrlɤj,"<EP P, P2>",1,0,1,0,0,0,0,0,1,0,0,[Tatevosov et al. 2017],"у некоторых носителей тяготеет к <P,P>",,,
ski,2991,"скользить, кататься на коньках2",šuɤj,"<EP P, P2>",šuɤj,"<EP P, P2>",1,0,1,0,0,0,0,0,1,0,0,[Tatevosov et al. 2017],"некоторые носители допускают <EP P ES, P2>",,,
burning,1428,гореть,jana,"<EP P ES, P2>",jana,"<EP P ES, P2>",1,1,1,0,0,0,0,0,1,0,0,[Tatevosov et al. 2017],,,,
