Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Комментарии,,
"SWIM, FLOAT","1439, 1574","плыть, плавать",züz,"<EP, P; P>",züz,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
"SWIM, FLOAT","1439, 1575","плыть, плавать",süz,"<EP, P; P>",süz,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
SWEEP,230,"подметать, вытирать",sɨpa,"<ES, P; P>",sɨpa,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
BUY,1869,покупать,al,"<ES, P; P>",al,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
REMEMBER,707,помнить,esinde / este tut,"<ES, P; P>",esinde / este tut,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
REMEMBER,707,помнить,este tut,"<S, S>",este tut,"<S, S>",0,0,0,0,1,0,0,0,0,1,0,[Татевосов 2016],,
UNDERSTAND,1536,понимать,aŋɨla,<ES; S>,aŋɨla,<ES; S>,0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
SPOIL (SOMEBODY OR SOMETHING),92,портить,buz,"<ES, P; P>",buz,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SLIP,1324,поскальзываться,ucxala,"<ES, MP; MP>",ucxala,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Татевосов 2016],,
TIE UP (TETHER),2891,привязывать,qɨs,"<ES, P; P>",qɨs,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,"прилипать, приклеиваться",zabɨš,"<ES, P, S; P>",zabɨš,"<ES, P, S; P>",0,1,1,0,1,0,0,1,0,0,0,[Lyutikova et al 2006],,
"GO, COME","695, 1446","приходить, идти",kel,"<ES, P; P>",kel,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
ASK (REQUEST),1828,просить,tile,"<ES, P; P>",tile,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
JUMP,1829,прыгать,sekir,"<ES, MP; MP>",sekir,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
HIDE,2486,прятаться,bux,"<ES, P, S; P, S>",bux,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
"DO, WORK (ACTIVITY)","813, 1086","работать, делать",išle,"<ES, P; P>",išle,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
"UNTIE, LET GO OR SET FREE","352, 1095","развязывать, отпускать",ij,"<ES, P; P>",ij,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
BE,1579,"размещаться, располагаться",sɨjɨn,"<ES, S; S>",sɨjɨn,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
GROW,479,расти,ös,"<ES, P; P>",ös,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
COMB (VERB),2070,"расчёсывать, причёсывать (о волосах)",tara,"<ES, P; P>",tara,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
TEAR (SHRED),1735,рвать,zɨrt,"<ES P, P>",zɨrt,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,"[Татевосов 2005], [Lyutikova et al 2006]",,
,,рваться,zɨrt-ɨ-l,"<ES, ?>",zɨrt-ɨ-l,"<ES, ?>",0,1,0,0,0,0,0,—,—,—,,[Татевосов 2005],,
CUT,1432,резать,kes,"<ES, P; P>",kes,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,ржать,kišne,"<EP, P; P>",kišne,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
