Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Комментарии,,
GET LOST,423,теряться,tas bol ,"<ES, S; P>",tas bol ,"<ES, S; P>",0,1,0,0,1,0,0,1,0,0,0,[Lyutikova et al 2006],,
"PUSH, MOVE","1452, 765","толкать, двигать",türt,<P; P>,türt,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,толстеть,semir,"<ES, P; P>",semir,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SINK (DESCEND),1088,тонуть,bat,"<ES, P, S; P>",bat,"<ES, P, S; P>",0,1,1,0,1,0,0,1,0,0,0,[Lyutikova et al 2006],,
SHARPEN (SOMETHING),251,точить,bile,"<ES, P; P>",bile,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
FADE (LOOSE COLOR),2704,тускнеть,oŋ,"<ES, P; P>",oŋ,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
FADE (LOOSE COLOR),2704,тускнеть,on,"<ES, P; P>",on,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
PULL,1455,тянуть,soz / tart,"<EP, P; P>",tart,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
PULL,1455,"тянуть, растягивать",soz / tart,"<EP, P; P>",soz,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
HIT,1433,ударять,qaq / ur,"<ES, MP P; MP P>",ur,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,"[Lyutikova et al 2006], [Татевосов 2016]",,
COVER,761,"укрывать, закрывать",zap,"<ES, P; P>",zap,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
DIE,1494,умирать,öl,<ES; P>,öl,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
GET TIRED,1996,уставать,arɨ,"<ES, S; P>",arɨ,"<ES, S; P>",0,1,0,0,1,0,0,1,0,0,0,[Lyutikova et al 2006],,
LEAVE,1752,уходить,bar / ket,"<EP, ES, P; P>",ket,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
"LEAVE, GO","1752, 695","уходить, идти",bar / ket,"<EP, ES, P; P>",bar,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
STUDY,1929,учиться,oqu,<P; P>,oqu,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
COMMEND,3455,хвалить,maxta,"<ES, P; P>",maxta,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
GO,695,ходить,atla,"<EP, P; P>",atla,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
WANT,1784,хотеть,süj,"<ES, S; S>",süj,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Татевосов 2016],,
SNORE,1983,храпеть,xurulda,"<EP, P; P>",xurulda,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
KISS,578,целовать,uppa et,"<ES, P, MP; P, MP>",uppa et,"<ES, P, MP; P, MP>",0,1,1,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
SCRATCH,1436,чесать,qašɨ,"<ES, P; P>",qašɨ,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
ITCH (CAUSE ITCHING OR FEEL ITCHY),3855,"чесаться, зудеть",kici,"<ES, S; S>",kici,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
CLEAN (SOMETHING),2235,чистить,tazala,"<ES, P; P>",tazala,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
READ,724,читать,oqu,"<ES, P; P>",oqu,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
